song_number,song_title,song_lyrics
11,اسم يسوع قد حلا,"لَوْ لَمْ يُحِبَّنِي الْمَسِيحْ
مَا كَانَ أَشْقَانِي
طَهَّرَنِي ذَاكَ الذَّبِيحْ
وَالْعَفْوَ أَعْطَانِي
1
لَوْ لَمْ يُحِبَّنِي الْغَفُورْ
كُنْتُ مَعَ الأَشْرَارْ
أَبْقَى إِلَى دَهْرِ الدُّهُورْ
مُعَذَّبًا بِالنَّارْ
2
لَوْ لَمْ يُحِبَّنِي الْقَدِيرْ
وَيَغْفِرِ الذَّنْبَ
مَا كَانَ إِمْكَانٌ بِأَنْ
أُسَاكِنَ الرَّبَّ
3
لَوْ لَمْ يُحِبَّنِي الَّذِي
كُلِّلَ بِالأَشْوَاكْ
كُنْتُ إِذًا مُقَيَّدًا
فِي وَهْدَةِ الْهَلاكْ
4
فَالشُّكْرُ مِنِّي وَاجِبٌ
مَا دُمْتُ فِي الْحَيَاهْ
لِمَنْ فَدَى نَفْسِي وَمَنْ
قَدْ جَادَ بِالنَّجَاهْ
5"
12,اسم عزيز قد سما,"اسْمٌ عَزِيزٌ قَدْ سَمَا
فَوْقَ الأَسَامِي الْعَالِيَهْ
يَسُوعُ فَادِي الأَثَمَهْ
مُحْيِي النُّفُوسِ الْبَالِيَهْ
1
مَنْ يَسْتَطِيعُ فِي الْوَرَى
رَفْضَ سُمُوِّ حُبِّهِ
هَلْ يُسْتَخَفُّ يَا تُرَى
بِمَوْتِهِ وَصَلْبِهِ
2
أَمَّا أَنَا فَأَفْرَحُ
بِشَخْصِ رَبِّي الْمُفْتَدِي
عَلَيْهِ نَفْسِي أَطْرَحُ
وَمَوْتُهُ مُعْتَمَدِي
3
إِذَا بَدَا وَجْهُ الْمَسِيحْ
يَبْدُو رَجَائِي وَالسُّرُورْ
إِنَّ اسْمَهُ خَوْفِي يُزِيحْ
وَدَمَهُ يَمْحُو الشُّرُورْ
4
لَيْسَ كَمَالٌ لِلْعَزَا
حَتَّى أَرَى فَادِي الْبَشَرْ
يَجِيءُ مِنْ أَوْجِ السَّمَا
يُنْقِذُنِي مِنَ الْخَطَرْ
5
فَهْوَ لَنَا نِعْمَ الرَّجَا
فَنَسْتَظِلُّ فِي حِمَاهْ
وَبَعْدَ سَعْيِنَا هُنَا
وَجْهًا لِوَجْهٍ سَنَرَاهْ
6"
13,ما أعجب النعم,"اِسْمُ يَسُوعَ قَدْ حَلا
لِمَسْمَعِ الْمُؤْمِنْ
يَشْفِي جِرَاحَ الْمُبْتَلَى
وَالْخَوْفَ يَسْتَأْمِنْ
1
سَلْوَى الْقُلُوبِ الْخَاشِعَهْ
تَعْزِيَةُ الأَحْزَانْ
قُوتُ النُّفُوسِ الْجَائِعَهْ
وَمَوْرِدُ الظَّمْآنْ
2
وَهْوَ الَّذِي يُسَكِّنُ
خَوْفِي وَأَحْزَانِي
وَذِكْرُهُ يُسْتَحْسَنُ
فِي سَمْعِ آذَانِي
3
بِهِ صَلاتِي تُسْمَعُ
وَتُغْفَرُ الآثَامْ
يَخْزَى الْعِدَى إِذْ أَجِدُ
مِنْهُ الْقَبُولَ التَّامّْ
4
قَلْبِي ضَعِيفٌ يَا مُعِينْ
فِي السُّبْحِ قَاصِرُ
مَا دُمْتُ فِي وَادِي الأَنِينْ
فَالضَّعْفُ ظَاهِرُ
5
مَتَى أُشَاهِدْكَ كَمَا
أَنْتَ فِي بَيْتِ الآبْ
أُهْدِ الثَّنَا مُقَدِّمًا
سُبْحًا كَمَا وَجَبْ
6"
14,المجد للآب الذي,"(عَلَوْتَ جِدًّا أَيُّهَا الرَّبُّ الإِلَهْ
عَلَوْتَ جِدًّا فِي الأَرْضِ وَفِي السَّمَا)
عَلَوْتَ جِدًّا لَيْسَ مِثْلَكَ إِلَهْ
عَلَوْتَ جِدًّا أَيُّهَا الرَّبُّ الإِلَهْ
1
مَجْدًا لَكَ عِزًّا لَكَ
يَعْلُوُ اسْمُكَ
فَوْقَ السَّمَا
ق
(جَلالُكَ يُغَطِّي كُلَّ ذَا الْوُجُودْ
فَإِنَّكَ عَظِيمٌ دُونَمَا حُدُودْ)
لا تَقِفُ أَمَامَكَ أَعْلَى السُّدُودْ
عَلَوْتَ وَحْدَكَ لَكَ كُلُّ السُّجُودْ
2
مَجْدًا لَكَ عِزًّا لَكَ
يَعْلُوُ اسْمُكَ
فَوْقَ السَّمَا
ق"
15,علمني انتظرك يا رب,"عَلِّمْنِي أَنْتَظِرَكْ يَا رَبّْ
عَرِّفْنِي رُؤْيَتَكَ لِلدَّرْبْ
فَلَيْسَ لِي سِوَاكَ أَنْتَ سَنَدِي
وَرُوحُكَ يَقُودُنِي
وَكَلامُكَ سِرَاجِي
1
لَذِّذْنِي بِحُبِّكَ الْغَنِيّْ
وَقُدْنِي لِنُورِكَ السَّنِيّْ
فَحُبُّكَ أَعْظَمُ طَوْقٍ لِلنَّجَاهْ
نَبْعُ رَجَائِي فِي الصَّلاهْ
كُلُّ آمَالِي فِي الْحَيَاهْ
2
يَا رَبُّ اِفْتَحْ لِيَ عَيْنِي
يَا رَبُّ أَنِرْ لِيَ قَلْبِي
لِكَيْ أَرَى ذِرَاعَكَ تُحِيطُ بِي
وَصَدْرَكَ يَضُمُّنِي
وَشَخْصَكَ يَعْتَنِي بِي
3"
16,لو لم يحبني المسيح,"الْمَجْدُ لِلآبِ الَّذِي
هُوَ أَبُو الأَنْوَارْ
مِنْهُ الْعَطَايَا الصَّالِحَهْ
لِشَعْبِهِ الْمُخْتَارْ
1
إِنَّ لَنَا مِنْ جُودِهِ
عَطِيَّةَ الإِيمَانْ
بِنِعْمَةٍ خَلَّصَنَا
أَعْطَى لَنَا الْغُفْرَانْ
2
وَحَسْبَ قَصْدِ قَلْبِهِ
فَقَدْ عَيَّنَنَا
لِنُشْبِه اِبْنَهُ الَّذِي
صَارَ بِكْرًا لَنَا
3
إِذْ إِنَّهُ فِي ابْنِهِ قَدْ
اِخْتَارَنَا لِذَا
دَعَانَا وَبَرَّرَنَا
مَجَّدَنَا كَذَا
4
فَالْكُلُّ مِنْهُ مِنَّةٌ
نِلْنَاهُ فِي الْمَسِيحْ
فَالشُّكْرَ نُهْدِي دَائِمًا
لَهُ مَعَ التَّسْبِيحْ
5"
17,أنا لست إلا غريباً هنا,"I’m but a stranger here
أَنَا لَسْتُ إِلاَّ غَرِيبًا هُنَا
فَإِنَّ السَّمَا مَوْطِنِي
نَزِيلٌ أَنَا وَسْطَ أَرْضِ الْعَنَا
فَدَارُ الْعُلا مَوْطِنِي
1
أَرَى الْحُزْنَ وَالْخَوْفَ حَوْلِي هُنَا
فَدَارُ الْعُلا مَوْطِنِي
لِذَلِكَ أَشْتَاقُ أَنْ أَرْتَقِي
سَرِيعًا إِلَى مَوْطِنِي
2
أَلا إِنَّنِي سَائِحٌ قَاصِدٌ
دِيَارَ السَّمَا مَوْطِنِي
فَلا بُدَّ أَنْ تَنْتَهِي غُرْبَتِي
وَأَمْضِي إِلَى مَوْطِنِي
3
هُنَاكَ أَمَامَ الْمُخَلِّصِ فِي
دِيَارِ السَّمَا مَوْطِنِي
سَأُلْبَسُ إِكْلِيلَ مَجْدٍ بَهِيّْ
وَأَفْرَحُ فِي مَوْطِنِي
4
هُنَاكَ سَأَسْعَدُ حَقًّا بِمَنْ
هَدَانِي إِلَى مَوْطِنِي
وَيَفْرَحُ قَلْبِي مَعَ الْقِدِّيسِينْ
بِفَادِيَّ فِي مَوْطِنِي
5"
18,مبدع الكون القدير,"مُبْدِعُ الْكَوْنِ الْقَدِيرُ
سُمِّرَ فَوْقَ الصَّلِيبْ
فَرَّ عَنْهُ كُلُّ خِلٍّ
مِثْلَ إِنْسَانٍ غَرِيبْ
1
حَسِبُوهُ كَأَثِيمٍ
مُسْتَحِقٍّ لِلْغَضَبْ
أَلْبَسُوهُ تَاجَ شَوْكٍ
بَدَلَ تَاجِ الذَّهَبْ
أَمْسَكُوا الرَّبَّ يَسُوعَ
وَأَذَوْهُ بِالْقُيُودْ
وَاقِفًا وَقْفَةَ عَبْدٍ
مَنْ عَلَى الْكُلِّ يَسُودْ
2
ضَرَبُوهُ جَلَدُوهُ
كَأَشَرِّ الْمُجْرِمِينْ
بِسِيَاطٍ مَزَّقُوهُ
بِعَذَابِ الْمُذْنِبِينْ
وَالَّذِينَ نَظَرُوهُ
مِنْهُ كَانُوا يَسْخَرُونْ
يُنْغِضُونَ الرَّأْسَ مِنْهُمْ
وَالأَفْوَاهَ يَفْغَرُونْ
3
وَبِالْحَرْبَهْ طَعَنُوهُ
بِاحْتِقَارٍ وَازْدِرَا
سَالَ مِنْ جَنْبِهِ مَاءٌ
وَكَذَا الدَّمُ جَرَى
قَاسَى رَبِّي كُلَّ هَوْلٍ
وَتَحَمَّلَ الْعَنَا
حَتَّى سَيْفُ الْعَدْلِ جَازَ
فِيهِ كَيْ أَنْجُو أَنَا
4
نَكَّسَ الرَّأْسَ أَخِيرًا
مَائِتًا عَنِ الْخُطَاهْ
فَلَكَ نَجْثُو بِحُبٍّ
أَيُّهَا الرَّبُّ الإِلَهْ"
19,أمجد الاَيات غنوا,"أَمْجَدَ الآيَاتِ غَنُّوا
بَشِّرُوا الْجُمُوعْ
أَمْسًا وَالْيَوْمَ دَوْمًا
هُوَ هُوَ يَسُوعْ
1
لَمْ يَزَلْ يَمْحُو الْخَطَايَا
يُبْرِئُ الْعَلِيلْ
يُسْكِتُ الْمَوْجَ يُنَجِّي
وَالْعَنَا يُزِيلْ
أَمْسْ وَالْيَوْمْ وَإِلَى الأَبَدْ
يَسُوعُ يَدُومْ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ
ق
مَجْدًا لاسْمِهِ مَجْدًا لاسْمِهِ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ
جَالَ فِي الأَرْضِ طَبِيبًا
كَمْ شَفَى سَقِيمْ
لَمْ يَزَلْ يَشْفِي وَيُحْيِي
كَمَا فِي الْقَدِيمْ
2
أَبْرَأَ الْمَرْأَةَ حَالاً
حِينَ لَمْسِهَا
وَلَنَا الْقُوَّةَ يُعْطِي
لا يَحُدُّهَا
أَمْسْ وَالْيَوْمْ وَإِلَى الأَبَدْ
يَسُوعُ يَدُومْ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ
ق
مَجْدًا لاسْمِهِ مَجْدًا لاسْمِهِ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ
وَإِلَى عِمْوَاسَ يَوْمًا
سَارَ كَالرَّفِيقْ
وَيَسِيرُ الآنَ مَعْنَا
فِي الرَّخَا وَالضِّيقْ
3
وَهْوَ آتٍ عَنْ قَرِيبٍ
مِثْلَ مَا وَعَدْ
وَهْوَ نَفْسُهُ يَسُوعُ
مُفْتَدِي الْجَسَدْ
أَمْسْ وَالْيَوْمْ وَإِلَى الأَبَدْ
يَسُوعُ يَدُومْ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ
ق
مَجْدًا لاسْمِهِ مَجْدًا لاسْمِهِ
كُلُّ شَيْءٍ يَتَغَيَّرْ يَسُوعُ يَدُومْ"
20,ما أعجب الفادي,"مَا أَعْجَبَ الْفَادِي
وَحُبَّهُ الشَّدِيدْ
إِذْ بِالرِّضَا التَّامِّ ابْتَغَى
أَنْ يَفْتَدِي الْعَبِيدْ
1
قَدْ سِيقَ كَالْحَمَلْ
مَنْ كَانَ فِي الْمَجْدِ
رَبُّ الْوَرَى وَابْنُ الْعَلِيّْ
لِلصَّلْبِ وَاللَّحْدِ
2
وَالْخَصْمُ قَدْ ظَنَّ
بِأَنَّهُ انْتَصَرْ
إِذْ دُفِنَ الرَّبُّ يَسُوعْ
وَخُتِمَ الْحَجَرْ
3
فَخَابَتِ الآمَالْ
فِي ظَاهِرِ الأَمْرِ
لَكِنَّ رَئِيسَ الْحَيَاهْ
قَامَ مِنَ الْقَبْرِ
4
فَأَبْطَلَ الْمَوْتَ
بِالْمَوْتِ وَأَنَارْ
لَنَا الْحَيَاةَ وَالْخُلُودْ
الْمُبْدِعُ الأَنْوَارْ
5
فَالشُّكْرُ وَالسُّجُودْ
وَالْحَمْدُ وَالإِكْرَامْ
لاسْمِكَ يَا مَنْ بِاسْمِهِ
يَنْسَكِبُ الإِنْعَامْ
6"
21,أراك بالإيمان,"أَرَاكَ بِالإِيمَانْ
يَا حَمَلَ الرَّحْمَانْ
رَبِّي يَسُوعْ
1
اِسْمَعْ لِطِلْبَتِي
وَزِدْ مَحَبَّتِي
يَا لَيْتَ جُمْلَتِي
عَبْدٌ يَطُوعْ
يَا رَبُّ زِدْ نَفْسِي
مِنْ نِعْمَةِ الْقُدْسِ
أَنْتَ الرَّحُومْ
2
زِدْ غَيْرَتِي رَبِّي
لِذَلِكَ الصَّلْبِ
وَاضْرِمْ عَلَى قَلْبِي
حُبًّا يَدُومْ
فِي ظُلْمَةِ الأَجْفَانْ
وَشِدَّةِ الأَحْزَانْ
كُنْ مُرْشِدِي
3
دَعْ ظُلْمَتِي تُكْشَفْ
وَأَدْمُعِي تَنْشَفْ
وَالْوَجْهَ لا يُصْرَفْ
عَنْ سَيِّدِي
إِذْ تَنْتَهِي الأَيَّامْ
كَالْحُلْمِ فِي الْمَنَامْ
وَأَصْعَدُ
4
أُشَاهِدُ الْمَسِيحْ
بِجَنْبِهِ الْجَرِيحْ
هُنَاكَ أَسْتَرِيحْ
وَأَسْعَدُ"
22,أعد علي حديثاً,"أَعِدْ عَلَيَّ حَدِيثًا
يَحْلُو لِسَمْعِي صَدَاهُ
عَنْ سَيِّدِي وَحَبِيبِي
وَغَاسِلِي بِدِمَاهُ
1
عِنْدَمَا جَاءَ إِلَيْنَا
طِفْلاً وَدِيعًا فِي مِذْوَدْ
مَا لَهُ فِي الْبَيْتِ مَهْدٌ
وَلا مَكَانٌ لِيُولَدْ
أَعِدْ عَلَيَّ حَدِيثَ
الْفَادِي الْمَجِيدِ الْحَبِيبِ
وَاسْرِدْ وَرَدِّدْ كَلامَ
السِّفْرِ اللَّذِيذِ الْعَجِيبِ
2
عَنْ خَالِقِ الْكَوْنِ لَمَّا
وَافَى دِيَارَ الشَّقَاءِ
وَجَالَ فِيهَا مُهَانًا
مُسْتَهْدَفًا لِلْعَنَاءِ
أَعِدْ عَلَيَّ حَدِيثَ
الْفَادِي الْحَبِيبِ الْكَرِيمِ
عَنْ حُبِّهِ وَفِدَاهُ
وَصَفْحِهِ لِلأَثِيمِ
3
وَعَنْ حُنُوٍّ وَرِفْقٍ
بِكُلِّ عَانٍ سَقِيمِ
عَنْ كُلِّ قَوْلٍ وَفِعْلٍ
وَكُلِّ خَيْرٍ عَمِيمِ
أَعِدْ عَلَيَّ حَدِيثَ
الْفَادِي الَّذِي مَاتَ عَنِّي
وَقَامَ بِالْمَجْدِ حَتَّى
أَنَالَ فِيهِ التَّبَنِّي
4
فَذَاكَ خَيْرُ حَدِيثٍ
يَحْلُو لِسَمْعِي صَدَاهُ
عَنْ سَيِّدِي وَحَبِيبِي
وَغَاسِلِي بِدِمَاهُ"
23,سوف يأتي في سحاب,"لَيْسَ لِلْحُبِّ الَّذِي
أَظْهَرْتَ حَدٌّ أَوْ قَرَارْ
رَائِعٌ حُلْوٌ غَنِيٌّ ضَاءَ قَلْبِي كَالْمَنَارْ
أَذْكُرُ الْحُبَّ فَنَفْسِي
تَسْمُو بَلْ فِكْرِي يَحَارْ
1
غَيْرَ أَنِّي إِذْ يَطُولُ
الْوَقْتُ بِي فِي حَضْرَتِكْ
كُلَّمَا تَعْتَادُ عَيْنَايَ ضِيَاءَ طَلْعَتِكْ
هَكَذَا تَشْبَعُ نَفْسِي مِنْ بَهَاءِ هَيْبَتِكْ
2
عِنْدَمَا تُظْلِمُ حَوْلِي
الدُّنْيَا بِالْغَيْمِ الثَّقِيلْ
يَبْقَى بَعْدَ الْغَيْمِ لِي
حُبُّكَ وَضَّاءً جَمِيلْ
يَا مُحِبًّا أَبَدِيًّا هَلْ لِحُبِّكَ مَثِيلْ
3
فَاهْدِ نَفْسِي يَا يَسُوعُ تَبْقَ دَوْمًا قُرْبَكَ
وَإِذَا ضَلَّتْ خُطَايَ عَنْ مَسَارِ دَرْبِكَ
عَلِّمَنِّي أُسْرِعُ الْخُطْوَ رُجُوعًا نَحْوَكَ
4
كُلَّمَا تَعْرِفُ نَفْسِي عُظْمَ مَعْرُوفِكَ لِي
أُدْرِكُ رَبِّي صَلاحَكَ بِفَهْمٍ أَكْمَلِ
أَنْتَ غَايَةُ آمَالِي أَيُّهَا الرَّبُّ الْعَلِيّْ
5"
